"id","item_name","short_description","item_tags","created_at"
"1","A Dart for Every Man","A high-capacity disruptor for every caste.","[""Items.Holsters.RangedWeapons.Light.SMG"",""LootTier.6"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"2","A Dart for Every Man Schematic","Schematic for a high-capacity disruptor for every caste.","[""Items.Schematics.RangedWeapons.Light.Rifle"",""LootTier.6"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"3","Abulurd's Rapture","A modified disruptor that uses heavy darts.","[""Items.Holsters.RangedWeapons.Light.SMG"",""LootTier.4"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"4","Abulurd's Rapture Schematic","Schematic for a modified Disruptor that uses heavy darts.","[""Items.Schematics.RangedWeapons.Light.Rifle"",""LootTier.4"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"5","Acheronian Boots","Heavy boots retrieved from hell.","[""Items.Clothes.HeavyArmor.Feet"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"6","Acheronian Boots Schematic","Schematic for heavy boots retrieved from hell.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"7","Acheronian Chestplate","A heavy chestplate retrieved from hell.","[""Items.Clothes.HeavyArmor.Torso"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"8","Acheronian Chestplate Schematic","Schematic for a heavy chestplate retrieved from hell.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"9","Acheronian Gauntlets","Heavy gauntlets retrieved from hell.","[""Items.Clothes.HeavyArmor.Hands"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"10","Acheronian Gauntlets Schematic","Schematic for heavy gauntlets retrieved from hell.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"11","Acheronian Helmet","A heavy helmet retrieved from hell.","[""Items.Clothes.HeavyArmor.Head"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"12","Acheronian Helmet Schematic","Schematic for a heavy helmet retrieved from hell.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"13","Acheronian Pants","Heavy pants retrieved from hell.","[""Items.Clothes.HeavyArmor.Legs"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"14","Acheronian Pants Schematic","Schematic for heavy pants retrieved from hell.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"15","Adaptive Holtzman Shield","Energy shield utilizing the Holtzman effect.","[""Items.Holsters.UtilityTools.Shield"",""LootTier.6"",""Rarity.Rare"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"16","Adaptive Holtzman Shield Schematic","Energy shield utilizing the Holtzman effect.","[""Items.Schematics.UtilityTools.Shield"",""LootTier.6"",""Rarity.Rare"",""LootPool.3""]","2026-02-25 21:38:24.494667+00"
"17","Adept Burst Drillshot","Double barrel ""anti-shield"" shotgun with increased capacity that charges up to fire a burst of two burrow darts.","[""Items.Holsters.RangedWeapons.Heavy.Shotgun"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"18","Adept Burst Drillshot Schematic","Schematic for a double barrel ""anti-shield"" shotgun with increased capacity that charges up to fire a burst of two burrow darts.","[""Items.Schematics.RangedWeapons.Heavy.Shotgun"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"19","Adept Dirk","A Harkonnen style short blade melee weapon.","[""Items.Holsters.MeleeWeapons.Knife.Dirk"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"20","Adept Disruptor M11","Rapid fire disruptor.","[""Items.Holsters.RangedWeapons.Light.SMG"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"21","Adept Disruptor Pistol","A heavy disruptor pistol.","[""Items.Holsters.RangedWeapons.Heavy.Pistol"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"22","Adept Disruptor Pistol Schematic","Schematic for a heavy disruptor pistol.","[""Items.Schematics.RangedWeapons.Heavy.Pistol"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"23","Adept Drillshot FK7","Double barrel ""anti-shield"" shotgun.","[""Items.Holsters.RangedWeapons.Heavy.Shotgun"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"24","Adept GRDA 44","Wide range scattergun.","[""Items.Holsters.RangedWeapons.Light.Shotgun"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"25","Adept High-payload Rocket Module Schematic","Medium Ornithopter rocket launcher with larger blast radius.","[""Items.Schematics.Deployables.VehicleExtra.MediumOrniCHOAM"",""LootTier.5"",""Rarity.Rare"",""LootPool.3"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"26","Adept JABAL Spitdart","Rapid cycling scoped rifle that fires poison-laced darts.","[""Items.Holsters.RangedWeapons.Light.Rifle.SpitDart"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"27","Adept Karpov 38","Gas powered assault rifle.","[""Items.Holsters.RangedWeapons.Light.Rifle.BattleRifle"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"28","Adept Kindjal","Curved short blade used for close combat.","[""Items.Holsters.MeleeWeapons.Knife.Kindjal"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"29","Adept Light Ornithopter Inventory","Adds inventory space to the Ornithopter.","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"30","Adept Light Ornithopter Scanner","Adds a scan ability to the Ornithopter.","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"31","Adept Maula Pistol","Lightweight Pistol.","[""Items.Holsters.RangedWeapons.Light.Pistol"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"32","Adept Rafiq Snubnose","High caliber pistol.","[""Items.Holsters.RangedWeapons.Heavy.Pistol"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"33","Adept Rapier","Long bladed melee weapon.","[""Items.Holsters.MeleeWeapons.Sword.Rapier"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"34","Adept Sandbike Inventory","Adds inventory space to the Sandbike.","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"35","Adept Sword","Long bladed melee weapon.","[""Items.Holsters.MeleeWeapons.Sword.Sword"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"36","Adept Tripleshot Repeating Rifle Schematic","Schematic for a non scoped Spitdart Rifle that fires tripleshots.","[""Items.Schematics.RangedWeapons.Light.Rifle"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"37","Adept Vulcan GAU-92","Light machinegun.","[""Items.Holsters.RangedWeapons.Heavy.LMG"",""LootTier.5"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"38","Adrenal Boots","Adrenal Boots temp short desc","[""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"39","Adrenal Boots Schematic","A unique schematic.","[""Items.Schematics.Clothes.ScoutArmor"",""LootTier.6"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"40","Advanced Armor Plating","A fabrication component found in loot","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"41","Advanced Blade Parts","A fabrication component found in loot","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"42","Advanced EMF Generator","A Fremen component used in fabrication","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
